ID,이름,대화 내용,애니메이션 재생,,주석
1,조세핀,...트레이닝은 다 외웠지만 아직 적용하기엔 부족하군요.,1,,Day1에서 수리를 하나만 제대로 했을 경우 나오는 대화문.
2,조세핀,이렇게 수리하면 손님들은 수리비를 제대로 주지 않을 겁니다.,2,,
3,조세핀,그럼 여기서 트레이닝을 마치도록 하겠습니다. 나머지는 알아서 몸으로 부딪히면서 배우세요.,0,,
4,엔지니어,미안^ 앞으론 잘 들을게.,,,
5,조세핀,이제 가게 문을 열어야 하니^ 영업 종료 후에 반드시 다시 고쳐주세요.,0,,
6,조세핀,아까 분명히 다 외워서 잠꼬대까지 할 정도라고 했잖아요.,2,,
7,엔지니어,아무래도 내 무의식 중에 발현된 것 같네.,,,
8,조세핀,무의식 속에 잠들어 있는 지식은 꺼내서 써야 빛을 내죠.,2,,
9,조세핀,뭐^ 그래도 조금은 수리가 됐으니 가능성은 보이지만^,1,,
10,조세핀,부탁이니 손님들에게는 제대로 된 수리를 해 주시기 바랍니다.,0,,
11,엔지니어,미안...,,,
12,조세핀,마침 저기 손님이 오는 것 같은데요.,1,,
13,조세핀,명예 회복을 위해 최선을 다해서 부탁드립니다.,0,,
14,엔지니어,알겠어^ 실수하지 않을게.,,,
15,조세핀,어서오세요^ 레파이아에 오신 걸 환영합니다.,0,,조세핀 퇴장
16,???,반갑습니다. 휴가는 잘 다녀오셨나요?,0,,브루스 중앙에서 등장
17,엔지니어,아^ 브루스. 안녕.,,,
18,조세핀,안녕하세요^ 브루스 씨.,0,,조세핀 왼쪽에서 등장
19,조세핀,바다를 갔다가 모래도 먹고^ 영광스러운 흉터도 생기고 왔습니다.,1,,
20,브루스,재밌게 갔다왔다는 말로 알겠습니다.,1,,
21,조세핀,어디 사는 누군가가 A/S도 제대로 안해줘서 그렇게 재밌진 않았어요.,2,,
22,엔지니어,미안^ 이따 영업 종료하고 꼭 고쳐줄게.,,,
23,브루스,레파이아에서 정비를 받으려고 했는데^ 휴가중이라고 붙어있더군요.,1,,
24,엔지니어,그동안 열심히 일했으니 잠시 휴가를 다녀왔지.,,,
25,엔지니어,큰 일은 없었어?,,,
26,브루스,이틀 전에 레드우드 건물에서 화재가 일어났던 거 외엔 큰 일은 없었습니다.,0,,
27,브루스,3층 방에 사람이 갇혀있어서 저와 구조팀이 진입했는데^,1,,
28,브루스,구조 과정에서 건물 윗층이 무너져 내리면서 잔해가 제 어깨 부분을 강타했고^ 온갖 재를 뒤집어썼죠.,1,,수리 힌트 1 '내부 청소'
29,브루스,그 이후로 왼팔 부분이 제대로 움직이질 않습니다.,0,,
30,엔지니어,평소에는 검댕이나 재로 목욕을 해도 문제가 없을 정도였는데 말이지?,,,
31,브루스,맞습니다. 명색이 소방관인데 큰 문제죠.,0,,
32,브루스,다행히 구조는 성공적이었지만^ 이 상태로는 앞으로의 업무에 지장이 생길 겁니다.,1,,
33,엔지니어,FM-129 소방 모델은 특유의 내구성으로 유명하니^ 파츠를 갈아끼울 정도의 문제는 아닐거야.,,,수리 힌트 2 '외관 수리'
34,조세핀,그럼 보통 재 뿐만 아니라 문제도 있을 수 있다는 얘기죠.,0,,
35,엔지니어,정비소로 자리를 옮기자.,,,수리할 항목은 '내부 청소'^ '외관 수리' 내부 청소만 해도 되지만 외관 수리까지 하면 퍼펙트 느낌으로.
