ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석
1,브루스,움직일 수는 있지만^ 평소처럼 돌아오진 못했네요.,,1,1,Day1_A에서 수리를 완벽히 했을 경우 나오는 대화문.
2,엔지니어,깔끔하게 고쳐주지 못해서 미안해.,2,,,
3,조세핀,죄송해요 브루스 씨. 지금 사장님이 아직 감이 확실히 안 돌아왔나 봐요.,,,,
4,조세핀,아까 전에도 절 완벽히 수리하지는 못하셨거든요.,1,,,
5,브루스,괜찮아요^ 항상 성공할 수는 없죠.,1,,,
6,브루스,계속 수리하면서 감을 잡으시면 되죠. 칠전팔기라는 말도 있잖아요?,1,,,
7,엔지니어,좋은 말 고마워^ 힘이 좀 나네.,0,,,
8,브루스,평소에 절 잘 정비해주셨잖아요^ 그럴 수도 있는 거죠.,,,,
9,브루스,그래도 조세핀 양은 조수니까^ 좀 더 잘 대해주세요.,0,,,
10,엔지니어,명심할게^ 미안해 모두들.,2,,,
11,브루스,다음에 뵐 때는 평소처럼 완벽한 정비를 기대할게요.,,,,
12,브루스,그럼 저는 소방서로 돌아가겠습니다.,0,,,
13,엔지니어,잘 가 브루스. 제대로 정비해주지 못해서 미안해.,0,,,
14,브루스,조세핀 씨도 몸조심하세요.,,3,1,브루스 퇴장
15,조세핀,살펴가세요^ 브루스 씨.,0,,,조세핀 퇴장
16,엔지니어,생각보다 시간이 오래 걸렸네.,0,,,조세핀 중앙에서 등장
17,조세핀,다른 손님을 받기도 전에 벌써 영업 종료 시간이 되었네요.,,,,
18,조세핀,"자, 그럼 오늘 느낀 점은?",0,,,
19,엔지니어,확실히 휴가를 다녀오고 나서 감이 죽었다는 거.,2,,,
20,엔지니어,문 닫고 기초 공부부터 다시 해야겠어. 너 정비하면서 빠트린 부분도 고치고 가자.,,,,
21,조세핀,응원하겠습니다. 사장님.,,,,
22,[시스템 메시지],DAY 1 종료,0,,,
