ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석
1,조세핀,...아무래도 휴가를 갔다 온 것은 실수였을까요?,,1,0,Day1에서 수리를 완전 실패했을 경우 나오는 대화문.
2,조세핀,이렇게 기초적인 수리조차 못하시다니^ 엔지니어 라이센스가 울겠습니다.,2,,,
3,조세핀,트레이닝은 마치도록 하겠습니다. 반드시 시간 날 때 다시 들어주세요.,2,,,
4,조세핀,그 때는 단축형이 아니라 10분짜리 제대로 된 매뉴얼 트레이닝을 스킵 및 배속 없이 틀겠습니다.,2,,,
5,엔지니어,정말 미안해^ 휴가 가서 너무 놀았나 봐.,2,,,
6,조세핀,아까 분명히 다 외워서 잠꼬대까지 할 정도라고 했잖아요.,,,,
7,조세핀,계속 이러시면 저도 그렇고^ 사장님도 레네를 볼 면목이 없어요.,1,,,
8,엔지니어,미안...,0,,,
9,조세핀,마침 저기 손님이 오는 것 같은데요.,,,,
10,조세핀,잃어버린 명예와 지식 회복을 위해 최선을 다해서 부탁드립니다.,0,,,
11,엔지니어,알겠어^ 반드시 이번엔 제대로 해볼게.,1,,,
12,조세핀,어서오세요^ 레파이아에 오신 걸 환영합니다.,,3,0,조세핀 퇴장
13,???,반갑습니다. 휴가는 잘 다녀오셨나요?,0,1,1,브루스 중앙에서 등장
14,엔지니어,아^ 브루스. 안녕.,0,,,
15,조세핀,안녕하세요^ 브루스 씨.,,1,0,조세핀 왼쪽에서 등장
16,조세핀,바다를 갔다가 모래도 먹고^ 영광스러운 흉터도 생기고 왔습니다.,0,,,
17,브루스,굉장히 진지한 목소리군요. 무슨 일이 있었던 건가요?,1,,,
18,조세핀,그건 저기 앉아있는 사람에게 물어보시는 게 더 효과적일겁니다.,1,,,
19,엔지니어,미안해^ 이따 영업 종료하고 꼭 고쳐줄게.,2,,,
20,브루스,레파이아에서 정비를 받으려고 했는데^ 휴가중이라고 붙어있더군요.,,,,
21,엔지니어,잠시 휴가를 다녀왔지.,1,,,
22,엔지니어,큰 일은 없었어?,,,,
23,브루스,이틀 전에 레드우드 건물에서 화재가 일어났던 거 외엔 큰 일은 없었습니다.,,,,
24,브루스,3층 방에 사람이 갇혀있어서 저와 구조팀이 진입했는데^,0,,,
25,브루스,구조 과정에서 건물 윗층이 무너져 내리면서 잔해가 제 어깨 부분을 강타했고^ 온갖 재를 뒤집어썼죠.,1,,,수리 힌트 1 '내부 청소'
26,브루스,그 이후로 왼팔 부분이 제대로 움직이질 않습니다.,1,,,
27,엔지니어,평소에는 검댕이나 재로 목욕을 해도 문제가 없을 정도였는데 말이지?,0,,,
28,브루스,맞습니다. 명색이 소방관인데 큰 문제죠.,,,,
29,브루스,다행히 구조는 성공적이었지만^ 이 상태로는 앞으로의 업무에 지장이 생길 겁니다.,0,,,
30,엔지니어,FM-129 소방 모델은 특유의 내구성으로 유명하니^ 파츠를 갈아끼울 정도의 문제는 아닐거야.,1,,,수리 힌트 2 '외관 수리'
31,조세핀,그럼 보통 재 뿐만 아니라 문제도 있을 수 있다는 얘기죠.,,,,
32,엔지니어,정비소로 자리를 옮기자. 이번엔 제대로 해보겠어.,0,2,1,수리할 항목은 '내부 청소'^ '외관 수리' 내부 청소만 해도 되지만 외관 수리까지 하면 퍼펙트 느낌으로.
