ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석
1,엔지니어,브루스^ 좀 어때?,,,,Day1_A에서 수리를 완벽히 했을 경우 나오는 대화문.
2,브루스,왼팔을 움직이는데 아무 문제가 없네요. 작동이 모두 정상화되었습니다.,,1,1,
3,브루스,원인이 뭐였나요?,0,,,
4,엔지니어,아까 떨어지는 잔해에 맞았다고 했지?,0,,,
5,엔지니어,부품 사이에 유격이 생겼고^ 그 사이로 재가 들어가고 검댕이 생긴거였어.,,,,
6,엔지니어,현장에서 많이 뛰다보니 부품이 닳아서 틈이 생길 여유가 생겼는데^,,,,
7,엔지니어,이번에 잔해가 떨어지면서 받은 충격이 그 틈을 넓혀버린 거지.,,,,
8,엔지니어,부품 자체가 크게 문제가 있는 건 아니기 때문에^ 교체까지는 안 해도 될 것 같고^,,,,
9,엔지니어,유격이 있는 공간을 원래 있던 부품과 같은 성분의 물질로 메꾸고^ 내부 청소를 했어.,,,,
10,엔지니어,검댕이 팔 부분을 구성하는 부품 사이사이 있어서 벗겨내는데 애먹긴 했지만^ 지금은 괜찮을거야.,,,,
11,브루스,감사합니다. 항상 여러분께는 신세를 지는군요.,,,,
12,조세핀,도시의 안전을 위해 백방으로 뛰는 분에게 저희가 해드릴 수 있는 것이죠.,0,,,
13,브루스,저는 그럼 소방서로 다시 돌아가겠습니다. 수리해주셔서 감사합니다.,0,,,
14,엔지니어,이정도야 뭘^ 반장님께 안부 좀 전해줘.,0,,,
15,브루스,조세핀 씨도 감사드려요.,,3,1,브루스 퇴장
16,조세핀,살펴가세요^ 브루스 씨.,0,,,조세핀 퇴장
17,엔지니어,생각보다 시간이 오래 걸렸네.,0,,,조세핀 중앙에서 등장
18,조세핀,다른 손님을 받기도 전에 벌써 영업 종료 시간이 되었네요.,,,,
19,엔지니어,부품을 전부 분해해서 하나하나씩 닦아줘야 했으니 무리도 아니지.,0,,,
20,조세핀,자^ 그럼 브루스 씨를 고치면서 감을 다시 되찾으신 것 같으니^,,,,
21,조세핀,저도 다시 제대로 고쳐주세요. 아직도 기체 내부에 모래 소리가 들린단 말이에요.,1,,,
22,엔지니어,"알겠어, 나한테 맡겨줘.",2,,,
23,엔지니어,먼저 가게 문 닫고^ 수리가 끝나면 집에 돌아가자.,,,,
24,조세핀,믿겠습니다. 사장님.,,,,
25,[시스템 메시지],DAY 1 종료,0,,,
