ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석
1,엔지니어,브루스^ 좀 어때?,,,,Day1_A에서 수리를 완전 실패했을때 나오는 대화문
2,브루스,전혀 움직이질 않네요.. 이러면 곤란한데..,,1,1,
3,엔지니어,이런...,2,,,
4,조세핀,죄송해요 브루스 씨. 지금 사장님이 아직 제 정신이 아니에요.,,,,
5,조세핀,아까 전에도 저도 수리하지 못하셨거든요.,2,,,
5,브루스,휴가를 다녀오시고 긴장의 끈을 많이 놓으셨군요.,1,,,
6,브루스,한동안 출동은 힘들겠네요.,1,,,
7,엔지니어,미안해 브루스^ 예전이라면 바로 고쳐줬을텐데...,0,,,
8,브루스,예전의 모습을 빨리 찾으시길 바랍니다.,,,,
9,브루스,저야 그렇다고 치더라도^ 조수인 조세핀 씨까지 정비를 제대로 못하신다면 그건 정말로 문제가 있는 겁니다.,2,,,
10,브루스,저는 그럼 소방서로 다시 돌아가겠습니다.,2,,,
11,엔지니어,혹시라도 오늘 저녁에라도 퇴근하면 다시 찾아와줘^ 그 때는 해결책을 찾아놓을게.,0,,,
12,브루스,알겠습니다. 퇴근하고 여유가 되면 한번 들르겠습니다.,,,,
13,브루스,조세핀 씨^ 괜찮으신가요?,0,,,
14,조세핀,괜찮아질거에요^ 브루스 씨. 고마워요.,1,,,
15,브루스,몸조리 잘 하세요.,1,3,1,브루스 퇴장
16,조세핀,안녕히 가세요.,0,,,조세핀 퇴장
17,조세핀,...,0,,,조세핀 중앙에서 등장
18,조세핀,이제 기초를 잊고 자신만만하면 이렇게 된다는 걸 아시겠죠?,2,,,
19,조세핀,자만심은 느리지만^ 치명적인 독이라고요.,2,,,
20,엔지니어,...,2,,,
21,조세핀,그나마 친분이 있는 브루스 씨라 다행이지^ 다른 손님이었으면 벌써 클레임이 무지막지하게 걸렸을겁니다.,,,,
22,조세핀,잃어버린 감을 되찾기 위해^ 브루스 씨가 다시 오시기 전까지 제가 사장님께 트레이닝을 다시 시켜드리도록 하겠습니다.,1,,,
23,엔지니어,오늘 가게 문은 일찍 닫고 집중해야겠어. 잘 부탁해.,0,,,
24,조세핀,브루스 씨 고치고 나서 저도 제대로 고쳐주시는 거 잊지 마세요.,,,,
25,조세핀,자^ 똑바로 잘 들으세요. 두 번 설명하긴 싫으니까.,2,,,
,[시스템 메시지],DAY 1 종료,2,4,0,
