ID,이름,대화 내용,애니메이션 재생,,주석
1,엔지니어,브루스^ 좀 어때?,,,Day1_B에서 수리를 완벽히 했을 경우 나오는 대화문.
2,브루스,왼팔을 움직이는데 아무 문제가 없네요. 작동이 모두 정상화되었습니다.,0,,
3,브루스,원인이 뭐였나요?,0,,
4,엔지니어,아까 떨어지는 잔해에 맞았다고 했지?,,,
5,엔지니어,부품 사이에 유격이 생겼고^ 그 사이로 재가 들어가고 검댕이 생긴거였어.,,,
6,엔지니어,현장에서 많이 뛰다보니 부품이 닳아서 틈이 생길 여유가 생겼는데^,,,
7,엔지니어,이번에 잔해가 떨어지면서 받은 충격이 그 틈을 넓혀버린 거지.,,,
8,엔지니어,부품 자체가 크게 문제가 있는 건 아니기 때문에^ 교체까지는 안 해도 될 것 같고^,,,
9,엔지니어,유격이 있는 공간을 원래 있던 부품과 같은 성분의 물질로 메꾸고^ 내부 청소를 했어.,,,
10,엔지니어,검댕이 팔 부분을 구성하는 부품 사이사이 있어서 벗겨내는데 애먹긴 했지만^ 지금은 괜찮을거야.,,,
11,브루스,감사합니다. 항상 여러분께는 신세를 지는군요.,0,,
12,조세핀,도시의 안전을 위해 백방으로 뛰는 분에게 저희가 해드릴 수 있는 것이죠.,0,,
13,조세핀,특히 브루스 씨는 저희에게도 은인이기도 하고요.,1,,
14,엔지니어,작년에 레파이아에 화재가 났을 때^ 브루스가 바로 달려와줬잖아.,,,
15,브루스,소방관이라면 당연히 해야 하는 일인걸요.,0,,
16,브루스,저는 그럼 소방서로 다시 돌아가겠습니다. 수리해주셔서 감사합니다.,0,,
17,엔지니어,이정도야 뭘^ 반장님께 안부 좀 전해줘.,,,
18,브루스,조세핀 씨도 감사드려요.,0,,브루스 퇴장
19,조세핀,살펴가세요^ 브루스 씨.,0,,조세핀 퇴장
20,엔지니어,생각보다 시간이 오래 걸렸네.,,,조세핀 중앙에서 등장
21,조세핀,다른 손님을 받기도 전에 벌써 영업 종료 시간이 되었네요.,0,,
22,엔지니어,부품을 전부 분해해서 하나하나씩 닦아줘야 했으니 무리도 아니지.,,,
23,엔지니어,아까 제대로 수리 못해줬던 거 다시 수리해줄게^ 그것만 끝내고 집으로 가자.,,,
24,조세핀,이번엔 빠짐없이 잘 수리해주세요.,1,,
25,[시스템 메시지],DAY 1 종료,,,
