ID,이름,대화 내용,애니메이션 재생,,주석
1,조세핀,고맙습니다. 한결 나아졌군요.,,,Day1에서 수리를 완벽히 했을 경우 나오는 대화문.
2,조세핀,이런 식으로 제대로 수리를 해주었다면 손님들은 만족하고^ 수리비를 줄 겁니다.,,,
3,조세핀,그럼 여기서 트레이닝을 마치도록 하겠습니다.,,,
4,엔지니어,정비 제대로 했으니까 너도 수리비 줘.,,,
5,조세핀,복지 정책으로 직원은 무료입니다.,,,
6,조세핀,어차피 저는 사장님 전용 안드로이드니^ 만약 제가 돈을 지불한다고 해도 사장님 계좌에서 빠지지 않나요?,,,
7,엔지니어,...내가 이래서 안드로이드별 개인 재산권 법안이 통과되기를 바라는 거야.,,,
8,조세핀,그 법안이 통과되면 사장님은 저에게 월급을 지급해줘야겠죠.,,,
9,조세핀,제 수당을 현재 최저임금에 대비시켜봤을 때...,,,
10,조세핀,레파이아의 월 수입은 월급을 밀리지 않고 줄 수준이 안되는 걸로 계산됐습니다.,,,
11,엔지니어,뼈아픈 농담이네.,,,
12,엔지니어,집세는 조금 간당간당하지만^ 그래도 정비 기계들 돌릴 전기세 정도는 충당할 수 있다고.,,,
13,조세핀,수익이 지금 이대로라면^ 정비 기계는 커녕 사장님 손목시계 배터리도 충전 못하실 수 있습니다.,,,
14,조세핀,한동안 허리띠를 졸라매셔야 하겠군요.,,,
15,엔지니어,너는 졸라맬 허리띠도 없잖아.,,,
16,조세핀,대신 절전 모드가 있긴 하죠.,,,
17,조세핀,원하신다면 지금 바로 절전 모드로 들어갈 수도 있습니다만.,,,
18,엔지니어,아냐. 그러진 마...,,,
19,엔지니어,수리점에 손님 들어올때마다 네가 절전모드에서 가동되면 손님들 입장에서 어떻게 생각하겠어?,,,
20,조세핀,...,,,
21,조세핀,대부분의 사람들이 수리점의 재정 상황과 실력에 대해 염려하겠죠.,,,
22,엔지니어,그리고 전원 꺼진 안드로이드가 갑자기 가동되면 손님들이 놀라 나자빠질 걸?,,,
23,조세핀,장기적으로 봤을 때 수리점에 이득이 될 것이 하나도 없군요.,,,
24,엔지니어,그렇지.,,,
25,조세핀,저기 손님이 오는 것 같은데요.,,,
26,조세핀,마수걸이를 제대로 해야 그 날 하루의 기운이 좋다고들 하죠. 최선을 다해서 부탁드립니다.,,,
27,엔지니어,안드로이드한테서 기운이 좋다는 얘기를 들으면 참 묘하단 말이야.,,,
28,조세핀,어서오세요^ 레파이아에 오신 걸 환영합니다.,,,
29,브루스,반갑습니다. 휴가는 잘 다녀오셨나요?,,,브루스 캐릭터 나타남
30,엔지니어,아^ 브루스. 안녕.,,,
31,조세핀,안녕하세요^ 브루스 씨.,,,
32,조세핀,바다를 갔다가 모래도 먹고^ 영광스러운 흉터도 생기고 왔습니다.,,,
33,브루스,재밌게 갔다왔다는 말로 알겠습니다.,,,
34,엔지니어,그 영광스러운 흉터와 모래들^ 한 3분 전에 사라졌는데.,,,
35,조세핀,부품이 물리적으로 교체될 수는 있지만^ 데이터는 사라지지 않습니다.,,,
36,브루스,레파이아에서 정비를 받으려고 했는데^ 휴가중이라고 붙어있더군요.,,,
37,엔지니어,그동안 열심히 일했으니 잠시 휴가를 다녀왔지.,,,
38,엔지니어,큰 일은 없었어?,,,
39,브루스,이틀 전에 레드우드 건물에서 화재가 일어났던 거 외엔 큰 일은 없었습니다.,,,
40,브루스,3층 방에 사람이 갇혀있어서 저와 구조팀이 진입했는데^,,,
41,브루스,구조 과정에서 건물 윗층이 무너져 내리면서 잔해가 제 어깨 부분을 강타했고^ 온갖 재를 뒤집어썼죠.,,,수리 힌트 1
42,브루스,그 이후로 왼팔 부분이 제대로 움직이질 않습니다.,,,
43,엔지니어,평소에는 검댕이나 재로 목욕을 해도 문제가 없을 정도였는데 말이지?,,,
44,브루스,맞습니다. 명색이 소방관인데 큰 문제죠.,,,
45,브루스,다행히 구조는 성공적이었지만^ 이 상태로는 앞으로의 업무에 지장이 생길 겁니다.,,,
46,엔지니어,FM-129 소방 모델은 특유의 내구성으로 유명한데^ 재를 뒤집어썼다는 것 만으로 기능 고장이 생겼다는 건...,,,
47,조세핀,재 뿐만 아니라 문제도 있을 수 있다는 얘기죠.,,,수리 힌트 2
48,엔지니어,그럼 정비소로 자리를 옮기자.,,,"수리할 항목은 '내부 청소', '외관 수리' 내부 청소만 해도 되지만 외관 수리까지 하면 퍼펙트 느낌으로."
