ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석
1,엔지니어,정비가 완료되었습니다. 좀 어떤가요?,,,,Day2에서 수리를 완벽히 했을 경우 나오는 대화문.
2,실베스터,좋습니다! 마치 체성분 검사에서 신체발달점수가 100점을 넘었을 때 같습니다!,,1,2,
3,엔지니어,(안드로이드한테 체성분 검사가 의미가 있나..?),2,,,
4,엔지니어,앞이 잘 안보이셨던 건 외부 충격때문에 안구 부품에 손상이 가서 그랬던 겁니다. 큰 손상은 아니어서 교체까지는 안 해도 되었습니다.,,,,실베스터0평소1왼쪽2반짝3놀람4웃음
5,엔지니어,스파링 타겟도 새 파츠로 갈아드렸고^ 발 부품은 복구가 불가능할 정도로 휘어서 새 파츠로 갈아끼워드렸습니다.,,,,
6,실베스터,감사합니다! 당신은 제 로니 콜먼과도 같습니다!,,,,
7,엔지니어,로니 누구요?,2,,,
8,실베스터,그리고 불법 개조나 시술을 받은 회원들은 환불해주고 회원권을 취소시켜야겠습니다! 또 다시 이런 일이 일어나선 안됩니다!,,,,
9,실베스터,회원님들! 다시 돌아온 실베스터가 갑니다!!,0,3,2,실베스터 퇴장
10,엔지니어,로니가 누구냐고요!,2,,,조세핀 퇴장
11,조세핀,굉장히 활기찬 손님이었네요.,,1,0,조세핀 중앙에 등장
12,엔지니어,그러게.,0,,,
13,엔지니어,왠지 모르게 운동을 배우고 싶은 생각이 들게 하는 걸.,,,,
14,조세핀,...,,,,
15,엔지니어,...너 지금 웃었지.,1,,,
16,조세핀,저. 는. A. I. 입. 니. 다. 감. 정. 을. 느. 낄. 수. 없. 습. 니. 다.,,,,
17,조세핀,...,1,,,
18,조세핀,풉.,1,,,
19,엔지니어,야!!,4,,,
20,[시스템 메시지],DAY 2 종료,4,0,,
