ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석
1,엔지니어,정비가 완료되었습니다. 좀 어떤가요?,,,,Day2에서 수리를 1~2개만 했을 경우 나오는 대화문.
2,실베스터,음.. 어딘가 부족합니다. 마치 체성분 검사에서 70점 정도가 나온 것 같습니다.,,1,2,
3,엔지니어,(안드로이드한테 체성분 검사가 의미가 있나..?),1,,,실베스터0평소1왼쪽2반짝3놀람4웃음
4,엔지니어,죄송합니다. 다음번에 오시면 좀 더 신경써서 정비하도록 하겠습니다.,,,,
5,실베스터,괜찮습니다! 실패는 마치 근육통같이 새로운 성공을 만드는 거름이 되는 것입니다!,,,,
6,실베스터,회원님들에게 돌아가야겠습니다! 하지만 오늘은 상태가 별로니 조심히 트레이닝을 진행해야겠습니다.,4,,,
7,실베스터,나중에 다시 오겠습니다!,0,3,2,실베스터 퇴장
8,조세핀,안녕히 가세요.,0,,,조세핀 퇴장
9,조세핀,이왕 이렇게 된 거^ 저 헬스클럽에 등록해서 운동 좀 해보시는 건 어때요?,0,,,조세핀 중앙에 등장
10,엔지니어,적어도 지금은 가면 안 될 거 같아..,0,,,
11,엔지니어,방금 수리를 시원찮게 한 엔지니어를 회원님으로 맡는다고 생각해봐.,,,,
12,조세핀,AI는 감정이 없으니까 상관없지 않을까요.,,,,
13,엔지니어,너를 보면 AI한테 감정이 없다는 건 다 헛소리같아.,1,,,
14,조세핀,저는 레네가 만든 감정이 있는 AI잖아요.,,,,
15,엔지니어,아^ 맞다. 그랬지...,2,,,
16,[시스템 메시지],DAY 2 종료,,,,
