ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석,등장인물
1,엔지니어,지금은 어떠신가요?,,1,3,,
2,시안,음... 아직도 똑같아요.,,,,,
3,엔지니어,죄송합니다... 잘 안 됐나 보네요.,0,,,,
4,조세핀,시안님^ 제가 임시방편으로 쓴 플러그인을 드릴게요.,,,,시안0평소1정면2웃음,
5,조세핀,RGB값을 자체적으로 원래대로 변환해주지만^ 다른 플러그인과 충돌이 일어날 수 있어서 다시 한번 정비를 받으러 오셔야 해요.,0,,,마르코0평소1왼쪽2어이털림,
6,시안,앗^ 정말인가요? 감사합니다.,1,,,카이바0평소1웃음2울음3빡침4전원꺼짐,
7,시안,정말 다행이에요^ 지금 그리는 만화가 채색 작업만 남아서 걱정이었거든요.,2,,,,
8,엔지니어,오늘 작업 끝나시고^ 여기로 꼭 다시 와주세요. 그 때는 고칠 수 있을 겁니다.,2,,,,
9,조세핀,대신^ 부탁 하나만 드려도 될까요?,,,,,
10,시안,네?,0,,,,
11,조세핀,제 친구^ 레네를 위해서 사인 한 장 해주실 수 있나요?,1,,,,
12,시안,당연하죠! 혹시 종이 있으신가요?,0,,,,
13,시안,...,2,,,,
14,시안,자^ 여기 있어요.,0,,,,
15,엔지니어,(사랑해주셔서 감사합니다! '시안 M.' - 열렬한 독자 레네에게),1,,,,
16,조세핀,감사합니다. 로보브레인과 스피커헤드도 그려주셨네요. 레네가 정말 좋아하겠어요.,,,,,
17,시안,팬을 위해서라면 이정도는 당연하죠.,0,,,,
18,시안,그럼 저는 채색 작업을 하러 가야되서^ 이만 가볼게요.,2,,,,
19,시안,오늘 고마웠어요^ 조세핀!,1,3,3,시안 퇴장,
20,엔지니어,꼭 다시 찾아와주세요!,2,,,조세핀 퇴장,
21,조세핀,그저께 저한테 똑같은 일이 일어났을 때는 잘만 고쳐주셨으면서^ 오늘은 왜 못 고치셨어요?,,,,조세핀 중앙에서 등장,
22,엔지니어,미안... 플러그인 이름을 헷갈렸나봐.,2,,,,
23,엔지니어,그래도 다행이네^ 네가 그런 플러그인을 가지고 있었을 줄이야.,,,,,
24,조세핀,어제 저도 온갖 방법을 다 찾아봤거든요. 이따 작가님 오실 때는 제대로 고쳐주도록 하세요.,,,,,
25,엔지니어,이번에는 실수하지 않고 꼭 고치도록 할게.,1,,,,
26,조세핀,밖에 손님이 왔군요. 두 명인 거 같은데요.,,,,,
27,엔지니어,두 명이라면...,1,,,,
28,조세핀,어서오세요^ 리페이아에 오신 걸...,,3,0,조세핀 퇴장,
29,???,블루라이트 시티 경찰서에서 왔다! 무기 버리고 투항해!,0,1,4,카이바 중앙에서 등장,
30,엔지니어,우왁?!,3,,,,
31,마르코,불워크! 여긴 시민 구역이다!,,1,9,마르코 왼쪽에서 등장,
32,불워크,...,0,,,,
33,불워크,적대적 행위 감지되지 않음. 반갑다. 시민.,3,,,,
34,마르코,괜찮으세요? 방금 그 상황은 죄송합니다.,0,,,,
35,엔지니어,마르코 씨?,2,,,,
36,엔지니어,그럼 이 카이바가...,,,,,
37,마르코,예^ 어제 말씀드렸던 녀석입니다.,,,,,
38,불워크,블루라이트 시티 경찰서 소속 카이바^ 불워크다.,2,,,,
39,조세핀,이름값하는 카이바네요.,0,1,0,조세핀 오른쪽에서 등장,
40,엔지니어,정확히 증상이 어떤가요?,1,,,,
41,마르코,적대적 행위^ 단어등에 엄청나게 예민하게 반응하고^ 경계모드가 아니라 바로 전투모드로 들어갑니다.,,,,,
42,엔지니어,캔들라이트 지역에서 대체 뭘 보고 학습했길래...,1,,,,
43,불워크,캔들라이트...!,,,,,
44,불워크,거길 왜 언급하는 거지?! 갱단 소속인가?!,3,,,,
45,불워크,전부 형무소로 보내버려주마!!,3,,,,
46,엔지니어,으악!,3,,,,
47,마르코,불워크! 시민들을 위협하지 마라!,,,,,
48,불워크,...,0,,,,
49,불워크,명령 확인. 전투 모드를 종료한다.,3,,,,
50,마르코,이렇습니다.,0,,,,
51,엔지니어,적어도 이 친구 앞에선 농담도 하면 안되겠네요.,2,,,,
52,엔지니어,어떻게 해주셨으면 하나요?,,,,,
53,마르코,불워크의 데이터를 보존하면서 초기화를 시키고 싶습니다.,,,,,
54,엔지니어,엄청 간단하게 가능 할 거 같네요.,0,,,,
55,마르코,정말입니까?,,,,,
56,엔지니어,그것도 단 하나만 하면 될 거 같아요.,0,,,수리 힌트^ 고쳐야 할 점은 딱 하나.,
57,엔지니어,정비실로 갑시다.,,,,,
58,불워크,정비실...? 그곳에 뭘 숨겨놓은 것이냐?!,,,,,
59,엔지니어,마르코 씨^ 쟤 작동 정지시켜주세요...,3,,,수리 항목은 '파츠 추가' (저장장치),
60,마르코,불워크! 작동 중지!,,,,,
61,불워크,...,0,,,,
62,안내,정비소 탭을 눌러 이동해주세요.,4,2,4,,
