ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석,등장인물
1,마르코,어떻게 되었나요?,,1,4,Day_C에서 수리를 성공했을 때 나오는 대화문,
2,엔지니어,이제 가동을 한번 시켜봐야죠.,0,,,,
3,불워크,...,,,,,
4,불워크,...!,4,,,,
5,카이바,반갑습니다. 여러분의 업무에 도움을 줄 맞춤형 다목적 인공지능봇^ 카이바입니다. 새로운 호출명을 말해주세요.,0,,,,
6,마르코,불워크.,1,,,,
7,불워크,'불워크'^ 이 호출명이 맞습니까?,0,,,,
8,마르코,그래.,0,,,,
9,불워크,감사합니다. 저는 불워크입니다. 초기 설정을 진행하시겠습니까?,1,,,,
10,마르코,10분 후로 미뤄줘.,1,,,,
11,불워크,알겠습니다. 불워크는 그 동안 사용자님을 따라다닙니다.,0,,,,
12,엔지니어,새 저장장치가 잘 작동하는군요.,0,,,,
13,엔지니어,기존 저장장치는 연결만 해제해놨을 뿐이라 나중에 필요하면 다시 연결만 하면 됩니다.,,,,,
14,마르코,감사합니다. 저와 제 부서에게도 큰 도움이 되었습니다.,,,,,
15,엔지니어,인공지능을 학습시키는데 시간이 조금 걸리겠지만^ 그래도 지금보단 나을 겁니다.,0,,,,
16,마르코,도움이 필요하면 다시 오겠습니다. 수고하세요!,,3,4,불워크^마르코 퇴장,
17,엔지니어,안녕히 가세요.,0,3,9,조세핀 퇴장,
18,조세핀,지금 잘 고치는 걸 보면^ 아까 작가님을 못 고친 건 단순한 건망증때문이었군요.,,,,,
19,조세핀,아니면 사장님이 공권력에 약하다든가?,1,,,,
20,엔지니어,공권력이 무섭긴 해.,2,,,,
21,엔지니어,시안 씨가 오기 전에 미리 세팅을 해놓아야겠어. 좀 도와줄래?,,,,,
22,조세핀,영업 시간은 종료되었으니 가게 문은 닫아두도록 하겠습니다.,,,,,
23,엔지니어,시안 씨가 들어올 수 있도록 앞에 쪽지는 붙여둬.,0,,,,
24,[시스템 메시지],DAY 3 종료,,,,,
