ID,이름,대화 내용,애니메이션 재생,,주석,등장인물
1,마르코,어떻게 되었나요?,,,,
2,엔지니어,이제 가동을 한번 시켜봐야죠.,,,,
3,불워크,...,,,,
4,불워크,...!,,,,
5,카이바,반갑습니다. 여러분의 업무에 도움을 줄 맞춤형 다목적 인공지능봇^ 카이바입니다. 새로운 호출명을 말해주세요.,,,,
6,마르코,성공적이군요!,,,,
7,성공적이군요,"""성공적이군요""^ 이 호출명이 맞습니까?",,,,
8,마르코,아.. 아니!,,,,
9,카이바,호출명을 다시 말해주세요.,,,,
10,마르코,불워크.,,,,
11,불워크,"""불워크""^ 이 호출명이 맞습니까?",,,,
12,마르코,그래.,,,,
13,불워크,감사합니다. 저는 불워크입니다. 초기 설정을 진행하시겠습니까?,,,,
14,마르코,10분 후로 미뤄줘.,,,,
15,불워크,알겠습니다. 불워크는 그 동안 사용자님을 따라다닙니다.,,,,
16,엔지니어,새 저장장치가 잘 작동하는군요.,,,,
17,엔지니어,기존 저장장치는 연결만 해제해놨을 뿐이라 나중에 필요하면 다시 연결만 하면 됩니다.,,,,
18,마르코,감사합니다. 저와 제 부서에게도 큰 도움이 되었습니다.,,,,
19,엔지니어,인공지능을 학습시키는데 시간이 조금 걸리겠지만^ 그래도 지금보단 나을 겁니다.,,,,
20,마르코,도움이 필요하면 다시 오겠습니다. 수고하세요!,,,불워크^마르코 퇴장,
21,엔지니어,안녕히 가세요.,,,조세핀 퇴장,
22,조세핀,굉장히 간단한 문제였네요.,,,,
23,엔지니어,안드로이드 수리 및 분해에 자격증을 요구하지 않았다면 일반인들도 충분히 할 수 있는 조치였지.,,,,
24,엔지니어,공식적으로 발급받은 안드로이드 엔지니어 코드가 없다면 분해할 시에 곧바로 불법 개조로 잡혀가버리니까.,,,,
25,조세핀,불워크가 별 문제 없이 잘 학습하고 사용되어야 할텐데요.,,,,
26,엔지니어,마르코 씨가 알아서 잘 하겠지.,,,,
27,엔지니어,대학 시절에 카이바로 프로젝트를 해서 망정이지^ 다른 수리점에선 못했을 걸.,,,,
28,조세핀,뭐든 귀찮아 하는 성격이지만 실력은 있어서 다행입니다.,,,,
29,엔지니어,칭찬으로 받아들일게. 이래뵈도 성적 장학금을 놓친 적은 없다고.,,,,
30,조세핀,영업 시간이 종료되었으니^ 정리하고 집으로 돌아가도록 하죠.,,,,
31,[시스템 메시지],DAY 3 종료,,,,
