ID,이름,대화 내용,애니메이션 재생,,주석,등장인물
1,엔지니어,제가 지금까지 정비했던 안드로이드 중에 가장 먼지가 꽉꽉 들어찼던 케이스네요.,,,팬 돌아가는 소리(강) 정지,엔지니어(주인공)
2,엔지니어,이 정도 먼지면 화력발전소에 연료로 보내도 될 것 같은데요.,,,,조세핀(조수)
3,존스턴,인정할 수 밖에 없는 양이군요. 이렇게나 많이 쌓여있었을 줄이야...,1,,,존스턴(도넛 경찰)
4,엔지니어,다들 먼지 알레르기 없으시죠?,,,,조나스(카이바)
5,마르코,다행히 없습니다.,0,,,마르코(콧수염 경찰)
6,존스턴,역시 전문가에게 맡기는 게 확실하군요. 아까 들리던 팬 돌아가는 소리가 확 없어졌어요.,0,,마르코0평소1왼쪽2어이털림,
7,엔지니어,사실 먼지 제거같은 문제는 정말 간단하게 해결할 수 있는 문제인데 말이죠.,,,카이바0평소1웃음2울음3빡침4전원꺼짐,
8,존스턴,저도 제 컴퓨터 먼지 제거는 자주 합니다만^ 안드로이드는 라이센스 없으면 분해도 못하잖아요.,1,,존스턴0평소1왼쪽,
9,마르코,기술 유출때문에 그렇다고는 하지만^ 굉장히 불편하다는 것도 맞죠.,2,,,
10,존스턴,감사드립니다. 자주 찾게 될 것 같네요.,0,,,
11,마르코,저희는 이만 가보겠습니다. 도움에 감사드립니다.,0,,마르코 퇴장,
12,조나스,감사합니다^ 시민 여러분!,1,,조나스 퇴장,
13,존스턴,장사 잘 되시기를 바라요.,0,,존스턴 퇴장,
14,엔지니어,안녕히 가세요...,,,,
15,엔지니어,경찰이 계속 들락날락하면 주변 사람들한테 안좋은 이미지가 쌓일까봐 그게 문제인데.,,,,
16,조세핀,복귀했습니다.,0,,조세핀 중앙에 등장,
17,엔지니어,생각보다 오래 걸렸네.,,,,
18,조세핀,찾고 있던 아이스크림이 없어서 옆 동네 마트까지 갔다 왔거든요.,1,,,
19,엔지니어,그럴 필요까진 없었는데...,,,,
20,조세핀,어차피 오늘 경찰들 들어가는 거 보고 손님도 잘 안 올거라 예상해서 갔다왔죠.,0,,,
21,엔지니어,카이바를 정비하면서 느낀건데^ 정부 쪽 일은 맡지 않아서 정말 다행이라고 생각해.,,,,
22,조세핀,맡더라도 알아서 며칠만에 뛰쳐나오지 않을까요?,2,,,
23,엔지니어,넌 나를 너무 잘 알아서 탈이야.,,,,
24,조세핀,절 누가 만들었는데요.,0,,,
25,엔지니어,아무튼 아이스크림이나 먹고 가게 문 닫아야지...,,,,
26,조세핀,옆 동네까지 가서 사온 건데 맛있게 드세요.,1,,,
27,엔지니어,...,,,,
28,엔지니어,누가 민트초코 아이스크림 사오래?!,,,,
29,조세핀,길 가다 만난 레네가요.,0,,,
30,엔지니어,민초단은 박멸된 줄 알았더니만^ 이 망할 박사같으니라고!!,,,,
31,[시스템 메시지],DAY 5 종료,,,,
