ID,이름,대화 내용,애니메이션 재생,,주석,등장인물
1,엔지니어,죄송합니다. 지금보다는 시간이 좀 더 걸릴 것 같네요.,,,,엔지니어(주인공)
2,엔지니어,가능하시다면 조나스를 여기에 맡겨주실 수 있나요? 오늘 근무 시간이 끝나시고 찾아갈 수 있도록 하겠습니다.,,,마르코0평소1왼쪽2어이털림,조세핀(조수)
3,존스턴,알겠습니다. 카이바를 정비하는 건 꽤나 골치 아픈 일이라고들 하니까요.,0,,카이바0평소1웃음2울음3빡침4전원꺼짐,존스턴(도넛 경찰)
4,존스턴,조나스^ 작동을 멈춰.,1,,존스턴0평소1왼쪽,조나스(카이바)
5,조나스,...,1,,,마르코(콧수염 경찰)
6,조나스,명령 확인. 시스템을 절전 모드로 바꿉니다. 작동을 다시 시키려면 시작 코드를 불러주세요.,4,,팬 돌아가는 소리(강) 정지,
7,마르코,그럼 저희는 서로 돌아가도록 하겠습니다. 자리를 오래 비우면 부하들에게 좋은 소리 못듣거든요.,0,,조나스 퇴장,
8,존스턴,장사 잘 되시기를 바라요.,0,,마르코 퇴장,
9,엔지니어,안녕히 가세요...,,,존스턴 퇴장,
10,엔지니어,경찰이 계속 들락날락하면 주변 사람들한테 안좋은 이미지가 쌓일까봐 그게 문제인데.,,,,
11,조세핀,다녀왔습니다.,0,,조세핀 중앙에 등장,
12,엔지니어,생각보다 오래 걸렸네.,,,,
13,조세핀,찾고 있던 아이스크림이 없어서 옆 동네 마트까지 갔다 왔거든요.,1,,,
14,엔지니어,그럴 필요까진 없었는데...,,,,
15,조세핀,어차피 오늘 경찰들 들어가는 거 보고 손님도 잘 안 올거라 예상해서 갔다왔죠.,0,,,
16,엔지니어,카이바를 정비하면서 느낀건데^ 정부 쪽 일은 맡지 않아서 정말 다행이라고 생각해.,,,,
17,조세핀,맡더라도 알아서 며칠만에 뛰쳐나오지 않을까요?,2,,,
18,엔지니어,아무튼 아이스크림이나 먹고 가게 문 닫아야지...,,,,
19,엔지니어,오늘은 야근해야될 것 같아.,,,,
20,조세핀,도와드릴까요?,0,,,
21,엔지니어,계속 손을 빌리게 되네. 그럼 이것부터 시작해보자...,,,,
22,[시스템 메시지],DAY 5 종료,,,,
