ID,이름,대화 내용,애니메이션 재생,,주석,등장인물
1,[안드로이드 수리점 '레파이아'],재개업 6일차,,,,엔지니어(주인공)
2,엔지니어,조세핀^ 오늘 저녁은 뭐로 할까?,,,,조세핀(조수)
3,엔지니어,피자? 치킨? ,,,,실베스터(스파링 로봇)
4,조세핀,얼마 전에 운동 배우고 싶다고 하시지 않으셨나요?,,,조세핀 중앙에 등장,레네(당근패드 들고 있는 여캐)
5,조세핀,둘 다 운동한다는 사람이 먹을 만한 음식은 아닌 것 같습니다만.,,,,시안(만화가 로봇)
6,엔지니어,그 때는 그 때고^ 지금은 지금이고.,,,,
7,조세핀,이 참에 진짜로 운동 좀 해보시는 건 어때요?,,,,
8,조세핀,시내에 헬스클럽도 생겼잖아요.,,,,
9,엔지니어,거기 트레이너인 실베스터의 기운을 못 받아들이겠어.,,,,
10,엔지니어,나는 운동한다면 그냥 조용히 운동하고 싶다고.,,,,
11,조세핀,근데 저기 오는 손님^ 실베스터 씨같은데요?,,,,
12,엔지니어,이런 젠장.,,,,
13,조세핀,어서오세요^ 레파이아에 오신 걸 환영합니다.,,,조세핀 퇴장,
14,실베스터,반갑습니다^ 레파이아! 실베스터가 찾아왔어요!,,,실베스터 중앙에 등장,
15,엔지니어,어서와요^ 실베스터. 오늘은 관절기 거는 회원님이 없었나요?,,,,
16,실베스터,관절기 거는 회원님은 없었습니다!,,,,
17,실베스터,대신 대단한 회원님이 등장했습니다!,,,,
18,조세핀,어떤 점에서 대단한 회원님인가요?,,,조세핀 왼쪽에서 등장,
19,실베스터,근성장이 인간을 초월했습니다! 심지어 그 어떤 약물도 사용하지 않은 결과라고 합니다!,,,,
20,실베스터,우리 헬스 클럽의 모든 기록을 혼자서 깨부수고 있습니다!,,,,
21,실베스터,마치 현세대에 다시 나타난 로니 콜먼^ 제이 커틀러^ 캘리포니아 주지사와도 같습니다!,,,,
22,조세핀,캘리포니아 주지사..?,,,,
23,엔지니어,(캘리포니아는 왜...?),,,,
24,실베스터,그 분을 위해 맞춤형 트레이닝을 준비해야 됩니다!,,,,
25,실베스터,제 스파링 장비로는 그 분의 육중한 펀치를 당해낼 수 없습니다! 최고의 장비가 필요합니다!,,,,
26,엔지니어,최고의 부품이라...,,,수리 힌트 1. 파츠 추가,
27,실베스터,그 분의 속도에 맞추기 위해 저도 빨라져야 합니다! 시스템상으로 더 빨라져야 합니다! 3배 빠르게!,,,수리 힌트 2. 최적화,
28,엔지니어,(대체 뭐 하는 사람이길래 전문 트레이닝 안드로이드가 못 따라가는 정도지?),,,,
29,엔지니어,알겠습니다. 정비실로 들어오시죠.,,,"수리 항목은 '파츠 추가', '최적화'",
