ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석,등장인물
1,엔지니어,정비가 끝났습니다. 좀 어떠신가요?,,1,7,,엔지니어(주인공)
2,실베스터,최고입니다! 엄청나게 빨라지고 강해졌습니다!,,,,,조세핀(조수)
3,엔지니어,시스템 최적화를 했고^ 장비 파츠들을 완전 새걸로 교체했어요.,2,,,,실베스터(스파링 로봇)
4,실베스터,이제 그 회원님을 더 전문적으로 지도할 수 있게 되었습니다!,,,,,레네(당근패드 들고 있는 여캐)
5,실베스터,감사합니다^ 레파이아의 여러분들! 미스터 올림포스여! 우리가 간다!!,4,3,7,실베스터 퇴장,시안(만화가 로봇)
6,엔지니어,미스터 올림포스?,4,,,조세핀 퇴장,
7,조세핀,명망 높은 보디빌딩 대회라고 하네요.,,,,조세핀 중앙에서 등장,
8,조세핀,현재는 운동보다는 사이보그 시술 등으로 힘을 늘리는 경우가 많고^ 몰래 시술을 받은 참가자가 나오는 등 명성이 줄어들고 있지만^,0,,,,
9,조세핀,아직도 보디빌딩을 하는 사람들에게는 꿈의 무대라고 합니다.,0,,,실베스터0평소1왼쪽2반짝3놀람4웃음,
10,엔지니어,한 자리에서 정상에 오른 사람들은 범접할 수 없는 멋이 있긴 하지.,0,,,레네0평소1정면2웃음3놀람,
11,엔지니어,나는 운동쪽으로 못 할 거 같지만.,,,,시안0평소1정면2웃음,
12,조세핀,뭐든 일단 해봐야지 경험을 쌓는 법입니다.,,,,,
13,조세핀,이 참에 건강도 챙길 겸 저기 헬스 클럽 등록이라도 하시는 건 어때요.,1,,,,
14,엔지니어,그럼 가게는 누가 보고?,2,,,,
15,조세핀,저기 오는 사람이 보면 되겠네요.,,,,,
16,조세핀,어서 오세요^ 레파이아에 오신 걸 환영합니다.,1,,,조세핀 퇴장,
17,시안,안녕하세요^ 다시 왔어요!,0,1,8,시안 중앙에 등장,
18,레네,나랑 함께 말이지!,2,1,10,레네 왼쪽에 등장,
19,엔지니어,뭐야^ 네가 왜 같이 나와.,2,,,,
20,레네,대학원에서 도망쳐나왔다가 레파이아 방향으로 걸어가는 작가님을 봤지.,,,,조세핀 오른쪽에 등장,
21,레네,얼마 전에 받은 사인지로 금방 친해졌고!,1,,,,
22,조세핀,유명인이랑 친구하기' 버킷리스트를 이뤘군요. 축하해요^ 레네.,2,,,,
23,엔지니어,세상 참 좁네.,0,,,,
24,엔지니어,작가님^ 오늘은 무슨 일로 오셨나요?,,,,,
25,시안,작업 속도를 높이고 싶어서요.,,,,,
26,조세핀,오늘따라 작업 효율을 높이는 요청이 많네요.,1,,,,
27,레네,또 누가 이런 부탁을 했었어?,1,,,,
28,엔지니어,저기 케인 헬스클럽의 실베스터가.,1,,,,
29,레네,안 그래도 오면서 봤어. 거의 마하 9의 속도로 달려가던데.,,,,,
30,엔지니어,장비 교체를 원하시나요?,2,,,,
31,시안,네^ 손목 부품이 조금 옛날 거라^ 새로 바꾸고 싶어요.,,,,수리 힌트 1 - 파츠 교체,
32,시안,그리고 지난번에 바꿨던 눈 부품에 아직 적응을 못해서^ 계속 데이터가 밀려서 들어오는 느낌이에요.,1,,,수리 힌트 2 - 최적화,
33,엔지니어,알겠습니다. 정비소로 들어와주세요.,0,,,"수리 항목은 파츠 교체, 최적화",
34,안내,정비소 탭을 눌러 이동해주세요.,,2,8,,
