ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석,등장인물
1,엔지니어,정비가 끝났습니다. 어떠신가요?,,1,8,,엔지니어(주인공)
2,시안,음... 뭐가 바뀐 건지 모르겠어요... 증상이 똑같고^ 속도도 그대로네요.,,,,,조세핀(조수)
3,레네,너 엔지니어 라이선스 반납하는 거 어때?,0,,,,실베스터(스파링 로봇)
4,엔지니어,죄송합니다...,0,,,,레네(당근패드 들고 있는 여캐)
5,레네,작가님^ 제가 대신 봐드릴게요. 이래 보여도 전 박사거든요.,,,,레네0평소1정면2웃음3놀람,시안(만화가 로봇)
6,시안,그럼... 부탁드리겠습니다.,1,,,시안0평소1정면2웃음,
7,엔지니어,수리 콘솔은 정비소 안 쪽에 있어.,1,,,,
8,레네,알아. 여기 원래 내가 쓰던 곳이잖아.,,,,,
9,레네,자^ 들어오세요. 작가님.,0,3,10,레네 퇴장,
10,시안,잠시 실례하겠습니다..,1,3,8,시안 퇴장,
11,엔지니어,도움이 되지 못해서 죄송해요.,1,,,,
12,조세핀,알면 이제부터 업그레이드 쪽 공부 좀 더 하셔야겠죠?,,,,,
13,레네,자^ 정비 끝. 지금은 더 나아졌을거에요.,2,1,10,레네 왼쪽에 등장,
14,시안,네! 제가 원하던 퍼포먼스가 딱 나오네요!,2,1,8,시안 중앙에 등장,
15,엔지니어,확실히 박사님은 일개 엔지니어랑 수준이 다르다니까.,2,,,,
16,시안,아^ 그리고 레네 씨랑 아까 오면서 얘기를 나눴는데^ 정말로 제 만화의 엄청난 팬이시더라고요.,,,,,
17,레네,어렸을 때부터 박사 학위를 따기까지 정말 많은 의지가 되었죠.,1,,,,
18,시안,지금까지 많은 팬들을 만나봤지만^ 이 정도로 열정적인 팬은 처음 만나봐요.,1,,,,
19,시안,레네 씨만 좋다면 나중에 제 작업실에 한번 초대하고 싶네요.,2,,,,
20,레네,정말요?! 영광이죠!,2,,,,
21,시안,만화 소재에 대한 전문가의 의견도 듣고 싶거든요.,3,,,,
22,레네,도움 되는 곳까지 최대한 도와드릴게요!,1,,,,
23,시안,전 이제 만화 마감을 마무리하러 가야 해서^ 이만 가볼게요!,2,,,,
24,시안,오늘 고마웠어요!,1,3,8,시안 퇴장,
25,엔지니어,안녕히 가세요.,1,,,,
26,레네,나도 대학원생들이 쫒아오기 전에 빨리 연구실로 돌아가야겠다. 안녕!,,3,10,레네 퇴장,
27,엔지니어,가다가 대학원생들한테 붙잡혀라!,1,,,조세핀 퇴장,
28,레네,그러기 전에 도망칠거거든~ 넌 공부나 더 열심히 해~,,,,,
29,조세핀,언제나 변함 없는 모습이라니까요.,,,,조세핀 중앙에 등장,
30,엔지니어,그래도 나 말고 친구가 생겨서 다행이네^ 그것도 자기가 좋아하는 만화 작가라니.,0,,,,
31,조세핀,이렇게 오늘도 영업이 끝났군요.,,,,,
32,엔지니어,정말 긴 하루였던 거 같아. 집에 돌아가서 공부 좀 해야겠다.,1,,,,
33,조세핀,내일은 어떻게 하실 겁니까?,,,,,
34,엔지니어,내일?,0,,,,
35,엔지니어,내일은 일요일이니까 쉬어야지!,,,,,
36,[시스템 메시지],DAY 6 종료,,4,0,,
