ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석,등장인물
1,엔지니어,정비가 끝났습니다. 어떠신가요?,,1,8,,엔지니어(주인공)
2,시안,음... 뭐가 바뀐 건지 모르겠어요... 증상이 똑같고^ 속도도 그대로네요.,,,,,조세핀(조수)
3,레네,너 엔지니어 라이선스 반납하는 거 어때?,0,,,,실베스터(스파링 로봇)
4,엔지니어,죄송합니다...,0,,,,레네(당근패드 들고 있는 여캐)
5,레네,작가님^ 제가 대신 봐드릴게요. 이래 보여도 전 박사거든요.,,,,,시안(만화가 로봇)
6,시안,그럼... 부탁드리겠습니다.,1,,,,
7,엔지니어,수리 콘솔은 정비소 안 쪽에 있어.,1,,,,
8,레네,알아. 여기 원래 내가 쓰던 곳이잖아.,,,,,
9,레네,자^ 들어오세요. 작가님.,0,3,10,레네 퇴장,
10,시안,잠시 실례하겠습니다..,1,3,8,시안 퇴장,
11,조세핀,오늘 사장님 퍼포먼스가 좀 별로네요.,1,,,,
12,엔지니어,나도 알아. 대학 때부터 업그레이드 쪽은 내 분야가 아니었다고.,2,,,,
13,엔지니어,오히려 이런 쪽에선 레네가 전문가니까^ 믿고 맡겨야지.,,,,,
14,레네,자^ 정비 끝. 지금은 더 나아졌을거에요.,,1,10,레네 왼쪽에 등장,
15,시안,네! 제가 원하던 퍼포먼스가 딱 나오네요!,2,1,8,시안 중앙에 등장,
16,엔지니어,확실히 박사님은 일개 엔지니어랑 수준이 다르다니까.,2,,,,
17,시안,전 이제 만화 마감을 마무리하러 가야 해서^ 이만 가볼게요!,,,,,
18,시안,오늘 고마웠어요!,2,3,8,시안 퇴장,
19,엔지니어,안녕히 가세요.,1,,,,
20,레네,나도 대학원생들이 쫓아오기 전에 빨리 연구실로 돌아가야겠다. 안녕!,,3,10,레네 퇴장,
21,엔지니어,가다가 대학원생들한테 붙잡혀라!,1,,,조세핀 퇴장,
22,레네,그러기 전에 도망칠거거든~,,,,,
23,조세핀,언제나 변함 없는 모습이라니까요.,,,,조세핀 중앙에 등장,
24,엔지니어,그래도 나 말고 친구가 생겨서 다행이네^ 그것도 자기가 좋아하는 만화 작가라니.,0,,,,
25,조세핀,이렇게 오늘도 영업이 끝났군요.,,,,,
26,엔지니어,정말 긴 하루였어.,0,,,,
27,조세핀,내일은 어떻게 하실 겁니까? 운동이라도 가보실래요?,,,,,
28,엔지니어,나한테 운동은 영 아닌것 같아. 연구라도 좀 더 해야겠어.,0,,,,
29,조세핀,최선을 다해서 도와드리죠. 사장님이 잘 되어야 저도 잘 사니까...,,,,,
30,[시스템 메시지],DAY 6 종료,0,4,0,,
