ID,이름,대화 내용,애니메이션 재생,,주석,등장인물
1,엔지니어,정비가 끝났습니다. 어떠신가요?,,,,엔지니어(주인공)
2,시안,확실히 좋아졌어요! 이제 시야가 밀리는 것도 없고^ 손목 움직임도 더 빨라졌네요!,2,,,조세핀(조수)
3,레네,제법인데^ 옛날엔 수리 기계 키는 것도 애먹던 녀석이 많이 컸어.,1,,,실베스터(스파링 로봇)
4,엔지니어,너야말로^ 대학교에서 처음으로 Hello World도 구현하기 힘들던 녀석이 지금은 박사라는게 놀랍다.,,,,레네(당근패드 들고 있는 여캐)
5,시안,두 분 참 사이가 좋은 거 같네요.,1,,,시안(만화가 로봇)
6,레네,얘하고는 대학교 때 만나서 지금까지 악연을 이어오고 있죠.,1,,,
7,엔지니어,그래도 밤을 새서 같이 공부한 적도 있고^ 졸업 프로젝트도 같이 했거든요.,,,,
8,엔지니어,저는 졸업하고 라이센스를 따서 바로 창업을 했지만^ 레네는 대학원으로 갔죠.,,,,
9,레네,힘든 나날이긴 했지만^ 지금 상황을 보면 좋은 선택이었다고 생각해.,0,,,
10,시안,그렇군요. 둘 다 멋진 인생을 살고 계신 것 같아요.,2,,,
11,시안,전 이제 만화 마감을 마무리하러 가야 해서^ 이만 가볼게요!,1,,,
12,시안,오늘 고마웠어요!,2,,시안 퇴장,
13,엔지니어,안녕히 가세요.,,,,
14,레네,나도 대학원생들이 쫒아오기 전에 빨리 연구실로 돌아가야겠다. 안녕!,1,,레네 퇴장,
15,엔지니어,가다가 대학원생들한테 붙잡혀라!,,,조세핀 퇴장,
16,레네,그러기 전에 도망칠거거든~,,,,
17,조세핀,언제나 변함 없는 모습이라니까요.,1,,조세핀 중앙에 등장,
18,엔지니어,그래도 나 말고 친구가 생겨서 다행이네^ 그것도 자기가 좋아하는 만화 작가라니.,,,,
19,조세핀,이렇게 오늘도 영업이 끝났군요.,0,,,
20,엔지니어,정말 긴 하루였어.,,,,
21,조세핀,내일은 어떻게 하실 겁니까? 운동이라도 가보실래요?,0,,,
22,엔지니어,나한테 운동은 영 아닌것 같아.,,,,
23,엔지니어,내일은 일요일이니까 쉬어야지!,,,,
24,[시스템 메시지],DAY 6 종료,,,,
