ID,이름,대화 내용,애니메이션 재생,,주석,등장인물
1,엔지니어,정비가 끝났습니다. 어떠신가요?,,,,엔지니어(주인공)
2,시안,음... 조금 부족해요. 제가 원하던 퍼포먼스는 안 나오네요.,0,,,조세핀(조수)
3,레네,작가님^ 제가 나머지는 봐드릴게요. 저 이래뵈도 박사라고요.,1,,,실베스터(스파링 로봇)
4,엔지니어,너 안드로이드 엔지니어 라이선스 안 따지 않았어?,,,,레네(당근패드 들고 있는 여캐)
5,레네,너랑 라이선스 시험 같이 봤고^ 점수도 1등이었거든?,0,,,시안(만화가 로봇)
6,엔지니어,아^ 맞다. 그걸로 엄청 놀려댔었지.,,,,
7,레네,2월 22일에 2등한 사람이 어디 사는 누구시더라~?,1,,,
8,엔지니어,시끄러.,,,,
9,레네,아무튼^ 너 정비소 좀 쓴다. 작가님^ 들어오세요.,1,,레네 퇴장,
10,시안,잠시 실례하겠습니다.,1,,시안 퇴장,
11,조세핀,오늘 사장님 컨디션이 별로인가요? 제대로 업그레이드를 하질 못하고 계시네요.,1,,,
12,엔지니어,업그레이드는 내 분야가 아닌가봐. 학부 시절에 업그레이드 파트만 빼놓고 들어서 그런가...,,,,
13,조세핀,그런 사람이 어떻게 라이센스를 딴 거죠...?,2,,,
14,레네,자^ 정비 끝. 지금은 더 나아졌을거에요.,2,,레네 왼쪽에 등장,
15,시안,네! 제가 원하던 퍼포먼스가 딱 나오네요!,2,,시안 중앙에 등장,
16,엔지니어,확실히 박사님은 일개 엔지니어랑 수준이 다르다니까.,,,,
17,레네,부러우면 박사 학위 따. 대학원으로 와 볼래?,1,,,
18,엔지니어,나는 대학원을 갈 생각이 없어요^ 척척박사님.,,,,
19,레네,걱정 마^ 나도 너 대학원생으로 받을 생각 없어.,0,,,
20,시안,두 분 참 사이가 좋네요.,2,,,
21,시안,전 이제 만화 마감을 마무리하러 가야 해서^ 이만 가볼게요!,1,,,
22,시안,오늘 고마웠어요!,1,,시안 퇴장,
23,엔지니어,안녕히 가세요.,,,,
24,레네,나도 대학원생들이 쫒아오기 전에 빨리 연구실로 돌아가야겠다. 안녕!,1,,레네 퇴장,
25,엔지니어,가다가 대학원생들한테 붙잡혀라!,,,조세핀 퇴장,
26,레네,고맙다는 말 대신 그러기냐!! 너나 라이센스 박탈당해라!!,,,,
27,조세핀,방금 마지막 말은 진심이 담긴 것 같은데요..,1,,조세핀 중앙에 등장,
28,엔지니어,오늘은 내가 좀 못하긴 했지...,,,,
29,조세핀,이렇게 오늘도 영업이 끝났군요.,0,,,
30,엔지니어,뒷맛이 찝찝한 하루였어.,,,,
31,엔지니어,내일은 일요일이니까 쉬어야지!,,,,
32,엔지니어,오랜만에 집에서 과자나 쌓아놓고 게임이나 하자.,,,,
33,조세핀,게임 할 시간이 있어요? 수리를 무리 없이 할 수 있을때까지 다시 공부하세요!,3,,,
34,조세핀,그리고 실베스터 돌아오면 업그레이드 다시 해줘야죠! 빨리 연구에 착수하세요!,3,,,
35,엔지니어,공부는 싫어!!,,,,
36,[시스템 메시지],DAY 6 종료,,,,
