ID,이름,대화 내용,애니메이션 재생,,주석,등장인물
1,엔지니어,정비가 끝났습니다. 어떠신가요?,,,,엔지니어(주인공)
2,시안,음... 뭐가 바뀐 건지 모르겠어요... 증상이 똑같고^ 속도도 그대로네요.,0,,,조세핀(조수)
3,엔지니어,죄송합니다...,,,,실베스터(스파링 로봇)
4,레네,너 엔지니어 라이선스 반납하는 거 어때?,0,,,레네(당근패드 들고 있는 여캐)
5,레네,작가님^ 제가 대신 봐드릴게요. 이래 보여도 전 박사거든요.,1,,,시안(만화가 로봇)
6,시안,그럼... 부탁드리겠습니다.,1,,,
7,엔지니어,수리 콘솔은 정비소 안 쪽에 있어.,,,,
8,레네,알아. 여기 원래 내가 쓰던 곳이잖아.,0,,,
9,레네,자^ 들어오세요. 작가님.,1,,레네 퇴장,
10,시안,잠시 실례하겠습니다..,1,,시안 퇴장,
11,엔지니어,도움이 되지 못해서 죄송해요.,,,,
12,조세핀,오늘은 적자겠네요. 제가 그래서 평소에 업그레이드 쪽 미리미리 연구해놓으라고 했잖아요.,2,,,
13,엔지니어,알았어..,,,,
14,레네,자^ 정비 끝. 지금은 더 나아졌을거에요.,2,,레네 왼쪽에 등장,
15,시안,네! 제가 원하던 퍼포먼스가 딱 나오네요!,2,,시안 중앙에 등장,
16,엔지니어,역시 일개 엔지니어보다는 박사님이 더 낫다니까...,,,,
17,시안,전 이제 만화 마감을 마무리하러 가야 해서^ 이만 가볼게요!,1,,,
18,시안,오늘 고마웠어요!,1,,시안 퇴장,
19,엔지니어,안녕히 가세요.,,,,
20,레네,나도 대학원생들이 쫒아오기 전에 빨리 연구실로 돌아가야겠다. 안녕!,1,,레네 퇴장,
21,엔지니어,오늘 고마웠어^ 레네.,,,조세핀 퇴장,
22,레네,고마우면 나중에 맥주나 한 잔 사!,,,,
23,조세핀,언제나 변함 없는 모습이라니까요.,0,,조세핀 중앙에 등장,
24,엔지니어,나중에 편의점에서 맥주 몇 캔 구비해놔야겠어.,,,,
25,조세핀,이렇게 오늘도 영업이 끝났군요.,0,,,
26,엔지니어,정말 긴 하루였던 거 같아. 집에 돌아가서 공부 좀 해야겠다.,,,,
27,조세핀,무슨 소리에요^ 실베스터 업그레이드 할 거 찾아봐야죠.,2,,,
28,엔지니어,아... 맞다... 젠장...,,,,
29,엔지니어,내일은 휴일인데... 그 전날까지 빡세게 일해야 하는구나...,,,,
30,조세핀,그러게 누가 뺀질거리래요?! 자업자득이죠!!,3,,,
31,[시스템 메시지],DAY 6 종료,,,,
