ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석,등장인물
1,[안드로이드 수리점 '레파이아'],재개업 7일차,,,,,엔지니어(주인공)
2,엔지니어,흐아아암...,,,,,조세핀(조수)
3,엔지니어,아우 졸려...,,1,0,,실베스터(스파링 로봇)
4,조세핀,어제 새벽 5시까지 안 잤으니까 그렇죠.,,,,,레네(당근패드 들고 있는 여캐)
5,조세핀,계속 한 판만 더^ 한 판만 더! 하다보니 아침은 밝아오고 있었고^,0,,,,시안(만화가 로봇)
6,조세핀,제 전적에 15전 15승이 추가됐죠.,1,,,,
7,엔지니어,그래도 조금만 더 하면 이길 것 같았단 말이야...,1,,,,
8,조세핀,절 이기려면 컴퓨터 난이도 아주 어려움 정도는 이기고 오세요.,,,,,
9,엔지니어,아오 얄미워.,1,,,,
10,조세핀,그나저나^ 오늘은 휴일이라면서 레파이아엔 왜 온 거죠?,,,,,
11,엔지니어,레네가 자기도 휴가 냈다면서 맥주 한 잔 하자고 불렀거든.,0,,,,
12,조세핀,흠...,,,,,
13,엔지니어,왜.,2,,,,
14,조세핀,제 기록 상에 따르면 사장님은 술 못하시는 걸로 알고 있는데요.,,,,,
15,조세핀,레네가 제게 넣어준 데이터에 따르면 대학교 오리엔테이션 뒤풀이 때...,0,,,,
16,엔지니어,설마...,0,,,,
17,조세핀,잔뜩 취한 채로 벌떡 일어나서 큰 소리로 자기 소개를 했다면서요?,,,,,
18,엔지니어,레네는 대체 너한테 뭘 넣어 놓은거야?!,2,,,,
19,엔지니어,아니 애초에 그런 게 너한테 들어가 있어야 할 이유가 뭔데?!,,,,,
20,조세핀,전 모릅니다. 이따 레네 오면 따지세요.,,,,,
21,엔지니어,내가 진짜 이걸 그냥 확 그냥...,1,,,,
22,레네,뭐.,,1,10,레네 왼쪽에서 등장,
23,엔지니어,으악!!,1,,,,
24,레네,헤헤^ 너 그 표정이 볼만한데?,,,,,
25,엔지니어,소리 좀 내고 와!,2,,,,
26,레네,이미 대학 아싸로 살면서 은신술은 숙달됐다고.,,,,,
27,레네,그리고 그 데이터는 네가 자만해있을 때^ 정신을 현실로 되돌아오게 만들 초특급 티켓이라고.,,,,,
28,레네,나중에 나한테 감사하게 될 날이 올거야.,,,,,
29,조세핀,그런 거면 저한테 넣지 말고 따로 USB같은 데다 넣어주면 되잖아요.,2,,,,
30,레네,안녕^ 조세핀. 엄마 보고 싶었어?,0,,,,
31,조세핀,보고 싶기는요^ 어제 시안님이랑 같이 왔었잖아요.,2,,,,
32,레네,어머^ 쌀쌀맞기도 해라.,2,,,,
33,레네,쟤한테 저장장치로 흑역사를 넘겨주라고? 그렇게 줬다가는 빛보다 빠른 속도로 소각로에 던져버릴걸.,0,,,,
34,레네,기왕 줄 거면 저 녀석이 건드릴 수 없는 곳에 넣어서 줘야지. 함부로 버릴 수도 없는...,1,,,,
35,엔지니어,그래서 조세핀한테 넣은거냐?!,0,,,,
36,레네,왜~ 너도 조세핀이랑 같이 지내면서 손해 볼 건 없잖아.,,,,,
37,레네,조세핀은 사회의 다양한 사람들을 보면서 세상을 배우고^ 너는 뛰어난 조수를 얻고...,1,,,,
38,레네,이거야말로 누이 좋고 매부 좋고 이런 거 아니겠어?,0,,,,
38,조세핀,그래서 절 사장님께 보냈던 거였어요?,2,,,,
39,레네,자식 교육이야말로 부모의 사명이지.,2,,,,
40,엔지니어,너 결혼도 안했잖아.,1,,,,
41,레네,난 공학^ 과학^ 기술과 결혼한 몸이라고.,,,,,
42,레네,일부일처제 국가에서 일처다부제를 시행하는 반항아라 이 말씀.,2,,,,
43,엔지니어,그러셔...,,,,,
44,조세핀,그러고보니 시안님 작업실에 갔었다면서요?,,,,,
45,레네,맞아! 정말 환상적인 경험이었어!,0,,,,
46,레네,내가 좋아하던 만화의 작업 과정을 두 눈으로 볼 수 있어서 얼마나 행복했는지 몰라!,2,,,,
47,레네,한정판 단행본에 친필 사인까지 받아서 왔다고!,2,,,,
48,조세핀,레네가 이렇게까지 행복해하는 모습은 처음 보네요.,2,,,,
49,레네,너 처음 가동됐을 때랑 비슷한 감정을 받고 왔지.,0,,,,
50,레네,게다가 다른 작가분이랑 콜라보레이션도 할 예정이라는 고급 정보도 알려주셨어!,2,,,,
51,엔지니어,누구랑?,2,,,,
52,레네,"'웃상','째쭈'^'키아1984' 같은 유명 작가들과 함께 단행본을 내신다고 하더라고!!",,,,,
53,엔지니어,웃상? 째쭈? 그 작가분들이?!,2,,,,
54,조세핀,좋아하시는 만화가인가요?,,,,,
55,엔지니어,레네에게 시안이 있다면^ 내게는 째쭈랑 웃상이 있다고.,,,,,
56,엔지니어,내 20대 초반을 함께 보냈다고 해도 과언이 아닌 만화들이었어.,,,,,
57,레네,우린 항상 서로 좋아하는 만화 작가를 권유하며 살았지.,,,,,
58,엔지니어,'로보브레인과 스피커헤드'가 더 재밌냐^ '강철메카신부'가 더 재밌냐 밤새 토론도 했었고.,1,,,,
59,레네,자^ 슬슬 맥주나 마시자. 6캔 정도 가져왔어.,,,,,
60,엔지니어,또 옛날처럼 실수하게 되는 건 아니겠지...,1,,,,
61,조세핀,걱정마세요^ 레파이아에 CCTV 있으니까 실수하면 다 녹화되거든요.,,,,,
62,엔지니어,그런 건 전혀 도움이 안 돼.,0,,,,
63,레네,다들 한 캔 씩 들어!,,,,,
64,조세핀,저는 술 못 마시는데요..,2,,,,
65,레네,그럼 건전지라도 들어! 건배에서 빠지는 사람 없는 거야!,2,,,,
66,레네,자...,2,,,,
67,레네,우리 모두 일주일동안 수고했다!!,1,,,,
68,모두들,건배!!,2,,,,
69,[시스템 메시지],DAY 7 종료,,,,ending_pic 화면에 뜨고 종료,
